r(m),T(K)
3.08500e-03,9.85256e+03
3.09000e-03,9.85147e+03
3.09500e-03,9.85037e+03
3.10000e-03,9.84926e+03
3.10500e-03,9.84815e+03
3.11000e-03,9.84704e+03
3.11500e-03,9.84593e+03
3.12000e-03,9.84481e+03
3.12500e-03,9.84369e+03
3.13000e-03,9.84256e+03
3.13500e-03,9.84143e+03
3.14000e-03,9.84029e+03
3.14500e-03,9.83915e+03
3.15000e-03,9.83801e+03
3.15500e-03,9.83686e+03
3.16000e-03,9.83571e+03
3.16500e-03,9.83456e+03
3.17000e-03,9.83340e+03
3.17500e-03,9.83223e+03
3.18000e-03,9.83106e+03
3.18500e-03,9.82989e+03
3.19000e-03,9.82872e+03
3.19500e-03,9.82754e+03
3.20000e-03,9.82635e+03
3.20500e-03,9.82516e+03
3.21000e-03,9.82397e+03
3.21500e-03,9.82277e+03
3.22000e-03,9.82157e+03
3.22500e-03,9.82037e+03
3.23000e-03,9.81916e+03
3.23500e-03,9.81794e+03
3.24000e-03,9.81673e+03
3.24500e-03,9.81550e+03
3.25000e-03,9.81428e+03
3.25500e-03,9.81304e+03
3.26000e-03,9.81181e+03
3.26500e-03,9.81057e+03
3.27000e-03,9.80933e+03
3.27500e-03,9.80808e+03
3.28000e-03,9.80682e+03
3.28500e-03,9.80557e+03
3.29000e-03,9.80430e+03
3.29500e-03,9.80304e+03
3.30000e-03,9.80177e+03
3.30500e-03,9.80049e+03
3.31000e-03,9.79921e+03
3.31500e-03,9.79793e+03
3.32000e-03,9.79664e+03
3.32500e-03,9.79535e+03
3.33000e-03,9.79405e+03
3.33500e-03,9.79275e+03
3.34000e-03,9.79144e+03
3.34500e-03,9.79013e+03
3.35000e-03,9.78881e+03
3.35500e-03,9.78749e+03
3.36000e-03,9.78617e+03
3.36500e-03,9.78484e+03
3.37000e-03,9.78350e+03
3.37500e-03,9.78216e+03
3.38000e-03,9.78082e+03
3.38500e-03,9.77947e+03
3.39000e-03,9.77812e+03
3.39500e-03,9.77676e+03
3.40000e-03,9.77540e+03
3.40500e-03,9.77403e+03
3.41000e-03,9.77266e+03
3.41500e-03,9.77128e+03
3.42000e-03,9.76990e+03
3.42500e-03,9.76851e+03
3.43000e-03,9.76712e+03
3.43500e-03,9.76572e+03
3.44000e-03,9.76432e+03
3.44500e-03,9.76291e+03
3.45000e-03,9.76150e+03
3.45500e-03,9.76009e+03
3.46000e-03,9.75866e+03
3.46500e-03,9.75724e+03
3.47000e-03,9.75580e+03
3.47500e-03,9.75437e+03
3.48000e-03,9.75293e+03
3.48500e-03,9.75148e+03
3.49000e-03,9.75003e+03
3.49500e-03,9.74857e+03
3.50000e-03,9.74711e+03
3.50500e-03,9.74564e+03
3.51000e-03,9.74417e+03
3.51500e-03,9.74269e+03
3.52000e-03,9.74121e+03
3.52500e-03,9.73972e+03
3.53000e-03,9.73823e+03
3.53500e-03,9.73673e+03
3.54000e-03,9.73522e+03
3.54500e-03,9.73371e+03
3.55000e-03,9.73220e+03
3.55500e-03,9.73068e+03
3.56000e-03,9.72916e+03
3.56500e-03,9.72763e+03
3.57000e-03,9.72609e+03
3.57500e-03,9.72455e+03
3.58000e-03,9.72300e+03
3.58500e-03,9.72145e+03
3.59000e-03,9.71990e+03
3.59500e-03,9.71833e+03
3.60000e-03,9.71677e+03
3.60500e-03,9.71519e+03
3.61000e-03,9.71361e+03
3.61500e-03,9.71203e+03
3.62000e-03,9.71044e+03
3.62500e-03,9.70885e+03
3.63000e-03,9.70724e+03
3.63500e-03,9.70564e+03
3.64000e-03,9.70403e+03
3.64500e-03,9.70241e+03
3.65000e-03,9.70079e+03
3.65500e-03,9.69916e+03
