r(m),T(K)
0.00743487,3752.42
0.00745491,3733.11
0.00747495,3713.93
0.00749499,3694.86
0.00751503,3675.93
0.00753507,3657.12
0.00755511,3638.43
0.00757515,3619.88
0.00759519,3601.45
0.00761523,3583.15
0.00763527,3564.98
0.00765531,3546.92
0.00767535,3529
0.00769539,3511.2
0.00771543,3493.52
0.00773547,3475.96
0.00775551,3458.52
0.00777555,3441.21
0.00779559,3424.02
0.00781563,3406.95
0.00783567,3390
0.00785571,3373.18
0.00787575,3356.49
0.00789579,3339.93
0.00791583,3323.5
0.00793587,3307.21
0.00795591,3291.07
0.00797595,3275.07
0.00799599,3259.22
0.00801603,3243.53
0.00803607,3228.01
0.00805611,3212.66
0.00807615,3197.49
0.00809619,3182.51
0.00811623,3167.72
0.00813627,3153.13
0.00815631,3138.74
0.00817635,3124.56
0.00819639,3110.6
0.00821643,3096.86
0.00823647,3083.33
0.00825651,3070.03
0.00827655,3056.94
0.00829659,3044.08
0.00831663,3031.43
0.00833667,3018.99
0.00835671,3006.76
0.00837675,2994.72
0.00839679,2982.88
0.00841683,2971.23
0.00843687,2959.76
0.00845691,2948.45
0.00847695,2937.29
0.00849699,2926.28
0.00851703,2915.4
0.00853707,2904.64
0.00855711,2893.99
0.00857715,2883.42
0.00859719,2872.94
0.00861723,2862.52
0.00863727,2852.16
0.00865731,2841.83
0.00867735,2831.52
0.00869739,2821.22
0.00871743,2810.91
0.00873747,2800.56
0.00875752,2790.16
0.00877756,2779.69
0.0087976,2769.12
0.00881764,2758.44
0.00883768,2747.61
0.00885772,2736.62
0.00887776,2725.45
0.0088978,2714.06
0.00891784,2702.42
0.00893788,2690.51
0.00895792,2678.29
0.00897796,2665.73
0.008998,2652.78
0.00901804,2639.42
0.00903808,2625.61
0.00905812,2611.32
0.00907816,2596.53
0.0090982,2581.25
0.00911824,2565.49
0.00913828,2549.29
0.00915832,2532.69
0.00917836,2515.8
0.0091984,2498.72
0.00921844,2481.58
0.00923848,2464.54
0.00925852,2447.72
0.00927856,2431.25
0.0092986,2415.24
0.00931864,2399.75
0.00933868,2384.83
0.00935872,2370.5
0.00937876,2356.74
0.0093988,2343.52
0.00941884,2330.79
0.00943888,2318.51
0.00945892,2306.64
0.00947896,2295.12
0.009499,2283.93
0.00951904,2273.01
0.00953908,2262.33
0.00955912,2251.86
0.00957916,2241.55
0.0095992,2231.38
0.00961924,2221.3
0.00963928,2211.29
0.00965932,2201.3
0.00967936,2191.3
0.0096994,2181.26
0.00971944,2171.12
0.00973948,2160.85
0.00975952,2150.42
0.00977956,2139.78
0.0097996,2128.89
0.00981964,2117.71
0.00983968,2106.19
0.00985972,2094.26
0.00987976,2081.88
0.0098998,2069.01
0.00991984,2055.65
0.00993988,2041.88
0.00995992,2027.83
0.00997996,2013.77
0.01,2000
