r(m),V(m/s),T(K)
0.00311558,-0.597018,5810.7
0.00316583,-0.607941,5786.01
0.00321608,-0.618911,5760.75
0.00326633,-0.629928,5734.92
0.00331658,-0.640992,5708.5
0.00336683,-0.652102,5681.49
0.00341709,-0.663257,5653.87
0.00346734,-0.674456,5625.65
0.00351759,-0.685697,5596.81
0.00356784,-0.696978,5567.34
0.00361809,-0.708299,5537.23
0.00366834,-0.719656,5506.48
0.00371859,-0.731049,5475.08
0.00376884,-0.742475,5443.02
0.0038191,-0.753933,5410.29
0.00386935,-0.765421,5376.88
0.0039196,-0.776936,5342.78
0.00396985,-0.788476,5308
0.0040201,-0.800037,5272.51
0.00407035,-0.811617,5236.31
0.0041206,-0.823211,5199.4
0.00417085,-0.834817,5161.77
0.00422111,-0.846429,5123.41
0.00427136,-0.858046,5084.31
0.00432161,-0.869662,5044.48
0.00437186,-0.881274,5003.91
0.00442211,-0.892876,4962.59
0.00447236,-0.904462,4920.52
0.00452261,-0.916025,4877.71
0.00457286,-0.927558,4834.16
0.00462312,-0.939053,4789.87
0.00467337,-0.950501,4744.85
0.00472362,-0.961896,4699.12
0.00477387,-0.973227,4652.68
0.00482412,-0.984482,4605.56
0.00487437,-0.995644,4557.78
0.00492462,-1.0067,4509.39
0.00497487,-1.01765,4460.41
0.00502513,-1.02845,4410.9
0.00507538,-1.03911,4360.93
0.00512563,-1.04958,4310.56
0.00517588,-1.05986,4259.87
0.00522613,-1.06991,4208.96
0.00527638,-1.07971,4157.93
0.00532663,-1.08923,4106.9
0.00537688,-1.09845,4055.99
0.00542714,-1.10734,4005.32
0.00547739,-1.11586,3955.01
0.00552764,-1.12399,3905.18
0.00557789,-1.13171,3855.94
0.00562814,-1.13899,3807.39
0.00567839,-1.14581,3759.59
0.00572864,-1.15217,3712.6
0.00577889,-1.15806,3666.47
0.00582915,-1.16347,3621.2
0.0058794,-1.1684,3576.8
0.00592965,-1.17285,3533.28
0.0059799,-1.17685,3490.61
0.00603015,-1.18037,3448.79
0.0060804,-1.18346,3407.84
0.00613065,-1.18608,3367.75
0.0061809,-1.18827,3328.55
0.00623116,-1.19004,3290.29
0.00628141,-1.19136,3253.03
0.00633166,-1.19227,3216.84
0.00638191,-1.19276,3181.8
0.00643216,-1.19283,3147.99
0.00648241,-1.19247,3115.47
0.00653266,-1.19171,3084.28
0.00658291,-1.19052,3054.42
0.00663317,-1.1889,3025.87
0.00668342,-1.18687,2998.57
0.00673367,-1.1845,2972.44
0.00678392,-1.1817,2947.38
0.00683417,-1.17853,2923.26
0.00688442,-1.175,2899.94
0.00693467,-1.17116,2877.3
0.00698492,-1.16699,2855.2
0.00703518,-1.1625,2833.49
0.00708543,-1.15772,2812.04
0.00713568,-1.15264,2790.68
0.00718593,-1.14724,2769.25
0.00723618,-1.14159,2747.58
0.00728643,-1.13567,2725.52
0.00733668,-1.12948,2702.88
0.00738693,-1.12298,2679.49
0.00743719,-1.11617,2655.14
0.00748744,-1.10902,2629.65
0.00753769,-1.10147,2602.88
0.00758794,-1.09359,2574.85
0.00763819,-1.08535,2545.72
0.00768844,-1.07681,2515.91
0.00773869,-1.06811,2486.04
0.00778894,-1.05929,2456.85
0.0078392,-1.05022,2429
0.00788945,-1.04082,2402.96
0.0079397,-1.03119,2378.94
0.00798995,-1.02112,2356.92
0.0080402,-1.01076,2336.71
0.00809045,-1.00018,2318.09
0.0081407,-0.989415,2300.84
0.00819095,-0.978511,2284.75
0.00824121,-0.96749,2269.68
0.00829146,-0.956391,2255.47
0.00834171,-0.94524,2242.02
0.00839196,-0.934054,2229.21
0.00844221,-0.922845,2216.97
0.00849246,-0.911619,2205.23
0.00854271,-0.900374,2193.92
0.00859296,-0.889123,2182.98
0.00864322,-0.877889,2172.38
0.00869347,-0.866687,2162.09
0.00874372,-0.855533,2152.09
0.00879397,-0.844444,2142.35
0.00884422,-0.833438,2132.88
0.00889447,-0.822532,2123.66
0.00894472,-0.811744,2114.69
0.00899497,-0.801093,2105.97
0.00904523,-0.790596,2097.51
0.00909548,-0.78026,2089.31
0.00914573,-0.770086,2081.39
0.00919598,-0.760077,2073.76
0.00924623,-0.750239,2066.44
0.00929648,-0.740589,2059.45
0.00934673,-0.731143,2052.81
0.00939698,-0.721923,2046.54
0.00944724,-0.71295,2040.65
0.00949749,-0.704245,2035.16
0.00954774,-0.695827,2030.06
0.00959799,-0.687712,2025.35
0.00964824,-0.679913,2021.03
0.00969849,-0.672436,2017.08
0.00974874,-0.665286,2013.48
0.00979899,-0.658463,2010.21
0.00984925,-0.651965,2007.25
0.0098995,-0.645783,2004.58
0.00994975,-0.639911,2002.17
0.01,-0.634341,2000
