r(cm)          U(V)           Ne(m^-3)       
0.303303       -6966.97       4.80053e+14    
0.304304       -6956.96       4.77728e+14    
0.305305       -6946.95       4.75407e+14    
0.306306       -6936.94       4.73089e+14    
0.307307       -6926.93       4.70775e+14    
0.308308       -6916.92       4.68464e+14    
0.309309       -6906.91       4.66158e+14    
0.31031        -6896.9        4.63856e+14    
0.311311       -6886.89       4.61557e+14    
0.312312       -6876.88       4.59263e+14    
0.313313       -6866.87       4.56973e+14    
0.314314       -6856.86       4.54687e+14    
0.315315       -6846.85       4.52405e+14    
0.316316       -6836.84       4.50128e+14    
0.317317       -6826.83       4.47855e+14    
0.318318       -6816.82       4.45586e+14    
0.319319       -6806.81       4.43321e+14    
0.32032        -6796.8        4.41061e+14    
0.321321       -6786.79       4.38806e+14    
0.322322       -6776.78       4.36555e+14    
0.323323       -6766.77       4.34309e+14    
0.324324       -6756.76       4.32068e+14    
0.325325       -6746.75       4.29831e+14    
0.326326       -6736.74       4.27599e+14    
0.327327       -6726.73       4.25372e+14    
0.328328       -6716.72       4.23149e+14    
0.329329       -6706.71       4.20932e+14    
0.33033        -6696.7        4.1872e+14     
0.331331       -6686.69       4.16512e+14    
0.332332       -6676.68       4.1431e+14     
0.333333       -6666.67       4.12112e+14    
0.334334       -6656.66       4.0992e+14     
0.335335       -6646.65       4.07733e+14    
0.336336       -6636.64       4.05551e+14    
0.337337       -6626.63       4.03375e+14    
0.338338       -6616.62       4.01203e+14    
0.339339       -6606.61       3.99037e+14    
0.34034        -6596.6        3.96877e+14    
0.341341       -6586.59       3.94722e+14    
0.342342       -6576.58       3.92572e+14    
0.343343       -6566.57       3.90428e+14    
0.344344       -6556.56       3.88289e+14    
0.345345       -6546.55       3.86156e+14    
0.346346       -6536.54       3.84028e+14    
0.347347       -6526.53       3.81906e+14    
0.348348       -6516.52       3.7979e+14     
0.349349       -6506.51       3.7768e+14     
0.35035        -6496.5        3.75575e+14    
0.351351       -6486.49       3.73476e+14    
0.352352       -6476.48       3.71383e+14    
0.353353       -6466.47       3.69296e+14    
0.354354       -6456.46       3.67214e+14    
0.355355       -6446.45       3.65139e+14    
0.356356       -6436.44       3.6307e+14     
0.357357       -6426.43       3.61006e+14    
0.358358       -6416.42       3.58949e+14    
0.359359       -6406.41       3.56897e+14    
0.36036        -6396.4        3.54852e+14    
0.361361       -6386.39       3.52813e+14    
0.362362       -6376.38       3.5078e+14     
0.363363       -6366.37       3.48753e+14    
0.364364       -6356.36       3.46732e+14    
0.365365       -6346.35       3.44718e+14    
0.366366       -6336.34       3.42709e+14    
0.367367       -6326.33       3.40708e+14    
0.368368       -6316.32       3.38712e+14    
0.369369       -6306.31       3.36723e+14    
0.37037        -6296.3        3.3474e+14     
0.371371       -6286.29       3.32763e+14    
0.372372       -6276.28       3.30793e+14    
0.373373       -6266.27       3.2883e+14     
0.374374       -6256.26       3.26872e+14    
0.375375       -6246.25       3.24922e+14    
0.376376       -6236.24       3.22978e+14    
0.377377       -6226.23       3.2104e+14     
0.378378       -6216.22       3.19109e+14    
0.379379       -6206.21       3.17184e+14    
0.38038        -6196.2        3.15267e+14    
0.381381       -6186.19       3.13355e+14    
0.382382       -6176.18       3.11451e+14    
0.383383       -6166.17       3.09553e+14    
0.384384       -6156.16       3.07661e+14    
0.385385       -6146.15       3.05777e+14    
0.386386       -6136.14       3.03899e+14    
0.387387       -6126.13       3.02028e+14    
0.388388       -6116.12       3.00164e+14    
0.389389       -6106.11       2.98306e+14    
0.39039        -6096.1        2.96455e+14    
0.391391       -6086.09       2.94612e+14    
0.392392       -6076.08       2.92774e+14    
0.393393       -6066.07       2.90944e+14    
0.394394       -6056.06       2.89121e+14    
0.395395       -6046.05       2.87304e+14    
0.396396       -6036.04       2.85495e+14    
0.397397       -6026.03       2.83692e+14    
0.398398       -6016.02       2.81896e+14    
0.399399       -6006.01       2.80107e+14    
0.4004         -5996          2.78325e+14    
0.401401       -5985.99       2.7655e+14     
0.402402       -5975.98       2.74782e+14    
0.403403       -5965.97       2.73021e+14    
0.404404       -5955.96       2.71267e+14    
0.405405       -5945.95       2.6952e+14     
0.406406       -5935.94       2.6778e+14     
0.407407       -5925.93       2.66047e+14    
0.408408       -5915.92       2.64322e+14    
0.409409       -5905.91       2.62603e+14    
0.41041        -5895.9        2.60891e+14    
0.411411       -5885.89       2.59186e+14    
0.412412       -5875.88       2.57488e+14    
0.413413       -5865.87       2.55798e+14    
0.414414       -5855.86       2.54114e+14    
0.415415       -5845.85       2.52438e+14    
0.416416       -5835.84       2.50768e+14    
0.417417       -5825.83       2.49106e+14    
0.418418       -5815.82       2.47451e+14    
0.419419       -5805.81       2.45803e+14    
0.42042        -5795.8        2.44162e+14    
0.421421       -5785.79       2.42528e+14    
0.422422       -5775.78       2.40902e+14    
0.423423       -5765.77       2.39282e+14    
0.424424       -5755.76       2.3767e+14     
0.425425       -5745.75       2.36065e+14    
0.426426       -5735.74       2.34467e+14    
0.427427       -5725.73       2.32876e+14    
0.428428       -5715.72       2.31292e+14    
0.429429       -5705.71       2.29715e+14    
0.43043        -5695.7        2.28146e+14    
0.431431       -5685.69       2.26584e+14    
0.432432       -5675.68       2.25028e+14    
0.433433       -5665.67       2.2348e+14     
0.434434       -5655.66       2.2194e+14     
0.435435       -5645.65       2.20406e+14    
