r(cm),U(V),Ne(m^-3)
0.239239,-7607.61,6.34E+14
0.24024,-7597.6,6.31E+14
0.241241,-7587.59,6.29E+14
0.242242,-7577.58,6.26E+14
0.243243,-7567.57,6.24E+14
0.244244,-7557.56,6.21E+14
0.245245,-7547.55,6.19E+14
0.246246,-7537.54,6.17E+14
0.247247,-7527.53,6.14E+14
0.248248,-7517.52,6.12E+14
0.249249,-7507.51,6.09E+14
0.25025,-7497.5,6.07E+14
0.251251,-7487.49,6.04E+14
0.252252,-7477.48,6.02E+14
0.253253,-7467.47,6.00E+14
0.254254,-7457.46,5.97E+14
0.255255,-7447.45,5.95E+14
0.256256,-7437.44,5.92E+14
0.257257,-7427.43,5.90E+14
0.258258,-7417.42,5.88E+14
0.259259,-7407.41,5.85E+14
0.26026,-7397.4,5.83E+14
0.261261,-7387.39,5.80E+14
0.262262,-7377.38,5.78E+14
0.263263,-7367.37,5.75E+14
0.264264,-7357.36,5.73E+14
0.265265,-7347.35,5.71E+14
0.266266,-7337.34,5.68E+14
0.267267,-7327.33,5.66E+14
0.268268,-7317.32,5.63E+14
0.269269,-7307.31,5.61E+14
0.27027,-7297.3,5.58E+14
0.271271,-7287.29,5.56E+14
0.272272,-7277.28,5.54E+14
0.273273,-7267.27,5.51E+14
0.274274,-7257.26,5.49E+14
0.275275,-7247.25,5.46E+14
0.276276,-7237.24,5.44E+14
0.277277,-7227.23,5.42E+14
0.278278,-7217.22,5.39E+14
0.279279,-7207.21,5.37E+14
0.28028,-7197.2,5.34E+14
0.281281,-7187.19,5.32E+14
0.282282,-7177.18,5.30E+14
0.283283,-7167.17,5.27E+14
0.284284,-7157.16,5.25E+14
0.285285,-7147.15,5.22E+14
0.286286,-7137.14,5.20E+14
0.287287,-7127.13,5.18E+14
0.288288,-7117.12,5.15E+14
0.289289,-7107.11,5.13E+14
0.29029,-7097.1,5.11E+14
0.291291,-7087.09,5.08E+14
0.292292,-7077.08,5.06E+14
0.293293,-7067.07,5.03E+14
0.294294,-7057.06,5.01E+14
0.295295,-7047.05,4.99E+14
0.296296,-7037.04,4.96E+14
0.297297,-7027.03,4.94E+14
0.298298,-7017.02,4.92E+14
0.299299,-7007.01,4.89E+14
0.3003,-6997,4.87E+14
0.301301,-6986.99,4.85E+14
0.302302,-6976.98,4.82E+14
0.303303,-6966.97,4.80E+14
0.304304,-6956.96,4.78E+14
0.305305,-6946.95,4.75E+14
0.306306,-6936.94,4.73E+14
0.307307,-6926.93,4.71E+14
0.308308,-6916.92,4.68E+14
0.309309,-6906.91,4.66E+14
0.31031,-6896.9,4.64E+14
0.311311,-6886.89,4.62E+14
0.312312,-6876.88,4.59E+14
0.313313,-6866.87,4.57E+14
0.314314,-6856.86,4.55E+14
0.315315,-6846.85,4.52E+14
0.316316,-6836.84,4.50E+14
0.317317,-6826.83,4.48E+14
0.318318,-6816.82,4.46E+14
0.319319,-6806.81,4.43E+14
0.32032,-6796.8,4.41E+14
0.321321,-6786.79,4.39E+14
0.322322,-6776.78,4.37E+14
0.323323,-6766.77,4.34E+14
0.324324,-6756.76,4.32E+14
0.325325,-6746.75,4.30E+14
0.326326,-6736.74,4.28E+14
0.327327,-6726.73,4.25E+14
0.328328,-6716.72,4.23E+14
0.329329,-6706.71,4.21E+14
0.33033,-6696.7,4.19E+14
0.331331,-6686.69,4.17E+14
0.332332,-6676.68,4.14E+14
0.333333,-6666.67,4.12E+14
0.334334,-6656.66,4.10E+14
0.335335,-6646.65,4.08E+14
0.336336,-6636.64,4.06E+14
0.337337,-6626.63,4.03E+14
0.338338,-6616.62,4.01E+14
0.339339,-6606.61,3.99E+14
0.34034,-6596.6,3.97E+14
0.341341,-6586.59,3.95E+14
0.342342,-6576.58,3.93E+14
0.343343,-6566.57,3.90E+14
0.344344,-6556.56,3.88E+14
0.345345,-6546.55,3.86E+14
0.346346,-6536.54,3.84E+14
0.347347,-6526.53,3.82E+14
0.348348,-6516.52,3.80E+14
0.349349,-6506.51,3.78E+14
0.35035,-6496.5,3.76E+14
0.351351,-6486.49,3.73E+14
0.352352,-6476.48,3.71E+14
0.353353,-6466.47,3.69E+14
0.354354,-6456.46,3.67E+14
0.355355,-6446.45,3.65E+14
0.356356,-6436.44,3.63E+14
0.357357,-6426.43,3.61E+14
0.358358,-6416.42,3.59E+14
0.359359,-6406.41,3.57E+14
0.36036,-6396.4,3.55E+14
0.361361,-6386.39,3.53E+14
0.362362,-6376.38,3.51E+14
0.363363,-6366.37,3.49E+14
0.364364,-6356.36,3.47E+14
0.365365,-6346.35,3.45E+14
0.366366,-6336.34,3.43E+14
0.367367,-6326.33,3.41E+14
0.368368,-6316.32,3.39E+14
0.369369,-6306.31,3.37E+14
0.37037,-6296.3,3.35E+14
0.371371,-6286.29,3.33E+14
0.372372,-6276.28,3.31E+14
0.373373,-6266.27,3.29E+14
0.374374,-6256.26,3.27E+14
0.375375,-6246.25,3.25E+14
0.376376,-6236.24,3.23E+14
