r(cm)          U(V)           Ne(m^-3)       
0.253253       -8131.77       6.65403e+15    
0.254254       -8123.08       6.65088e+15    
0.255255       -8114.39       6.64762e+15    
0.256256       -8105.68       6.64425e+15    
0.257257       -8096.96       6.64078e+15    
0.258258       -8088.23       6.6372e+15     
0.259259       -8079.5        6.63351e+15    
0.26026        -8070.75       6.62971e+15    
0.261261       -8061.98       6.6258e+15     
0.262262       -8053.21       6.62178e+15    
0.263263       -8044.43       6.61766e+15    
0.264264       -8035.64       6.61342e+15    
0.265265       -8026.83       6.60908e+15    
0.266266       -8018.02       6.60462e+15    
0.267267       -8009.19       6.60006e+15    
0.268268       -8000.35       6.59539e+15    
0.269269       -7991.5        6.5906e+15     
0.27027        -7982.64       6.58571e+15    
0.271271       -7973.77       6.5807e+15     
0.272272       -7964.89       6.57558e+15    
0.273273       -7956          6.57036e+15    
0.274274       -7947.1        6.56502e+15    
0.275275       -7938.19       6.55957e+15    
0.276276       -7929.26       6.554e+15      
0.277277       -7920.33       6.54833e+15    
0.278278       -7911.38       6.54255e+15    
0.279279       -7902.42       6.53665e+15    
0.28028        -7893.46       6.53064e+15    
0.281281       -7884.48       6.52452e+15    
0.282282       -7875.49       6.51829e+15    
0.283283       -7866.49       6.51194e+15    
0.284284       -7857.48       6.50548e+15    
0.285285       -7848.45       6.49891e+15    
0.286286       -7839.42       6.49223e+15    
0.287287       -7830.38       6.48544e+15    
0.288288       -7821.32       6.47853e+15    
0.289289       -7812.26       6.47151e+15    
0.29029        -7803.18       6.46437e+15    
0.291291       -7794.1        6.45713e+15    
0.292292       -7785          6.44977e+15    
0.293293       -7775.89       6.4423e+15     
0.294294       -7766.77       6.43471e+15    
0.295295       -7757.64       6.42701e+15    
0.296296       -7748.5        6.4192e+15     
0.297297       -7739.35       6.41128e+15    
0.298298       -7730.19       6.40325e+15    
0.299299       -7721.02       6.3951e+15     
0.3003         -7711.84       6.38684e+15    
0.301301       -7702.64       6.37846e+15    
0.302302       -7693.44       6.36998e+15    
0.303303       -7684.22       6.36138e+15    
0.304304       -7675          6.35267e+15    
0.305305       -7665.76       6.34385e+15    
0.306306       -7656.52       6.33491e+15    
0.307307       -7647.26       6.32587e+15    
0.308308       -7637.99       6.31671e+15    
0.309309       -7628.71       6.30744e+15    
0.31031        -7619.43       6.29806e+15    
0.311311       -7610.13       6.28857e+15    
0.312312       -7600.82       6.27896e+15    
0.313313       -7591.5        6.26925e+15    
0.314314       -7582.17       6.25942e+15    
0.315315       -7572.82       6.24949e+15    
0.316316       -7563.47       6.23944e+15    
0.317317       -7554.11       6.22928e+15    
0.318318       -7544.74       6.21902e+15    
0.319319       -7535.35       6.20864e+15    
0.32032        -7525.96       6.19815e+15    
0.321321       -7516.56       6.18756e+15    
0.322322       -7507.14       6.17685e+15    
0.323323       -7497.72       6.16604e+15    
0.324324       -7488.28       6.15512e+15    
0.325325       -7478.84       6.14409e+15    
0.326326       -7469.38       6.13295e+15    
0.327327       -7459.92       6.12171e+15    
0.328328       -7450.44       6.11036e+15    
0.329329       -7440.95       6.0989e+15     
0.33033        -7431.46       6.08733e+15    
0.331331       -7421.95       6.07566e+15    
0.332332       -7412.43       6.06388e+15    
0.333333       -7402.91       6.052e+15      
0.334334       -7393.37       6.04001e+15    
0.335335       -7383.82       6.02792e+15    
0.336336       -7374.26       6.01572e+15    
0.337337       -7364.69       6.00342e+15    
0.338338       -7355.12       5.99102e+15    
0.339339       -7345.53       5.97851e+15    
0.34034        -7335.93       5.9659e+15     
0.341341       -7326.32       5.95319e+15    
0.342342       -7316.7        5.94038e+15    
0.343343       -7307.08       5.92746e+15    
0.344344       -7297.44       5.91445e+15    
0.345345       -7287.79       5.90133e+15    
0.346346       -7278.13       5.88811e+15    
0.347347       -7268.46       5.8748e+15     
0.348348       -7258.79       5.86139e+15    
0.349349       -7249.1        5.84788e+15    
0.35035        -7239.4        5.83427e+15    
0.351351       -7229.69       5.82056e+15    
0.352352       -7219.97       5.80676e+15    
0.353353       -7210.25       5.79286e+15    
0.354354       -7200.51       5.77887e+15    
0.355355       -7190.76       5.76478e+15    
0.356356       -7181.01       5.7506e+15     
0.357357       -7171.24       5.73632e+15    
